 # Key parameters for the calculation
 # TASK,INSTR,TEMP,WING,E_UNIT
 #    2,   3, 300,   0,   1
 # Q, deltaE, Total
  0.000000E+00,  0.000000E+00,  0.000000E+00
  0.000000E+00,  0.599979E+00,  0.139376E-02
  0.000000E+00,  0.119996E+01,  0.713736E-01
  0.000000E+00,  0.179994E+01,  0.279525E-03
  0.000000E+00,  0.239992E+01,  0.000000E+00
  0.000000E+00,  0.299990E+01,  0.122975E-01
  0.000000E+00,  0.359988E+01,  0.000000E+00
  0.000000E+00,  0.419986E+01,  0.000000E+00
  0.000000E+00,  0.479984E+01,  0.000000E+00
  0.000000E+00,  0.539981E+01,  0.000000E+00
  0.000000E+00,  0.599979E+01,  0.000000E+00
  0.000000E+00,  0.659977E+01,  0.278419E-04
  0.000000E+00,  0.719975E+01,  0.000000E+00
  0.000000E+00,  0.779973E+01,  0.000000E+00
  0.000000E+00,  0.839971E+01,  0.000000E+00
  0.000000E+00,  0.899969E+01,  0.000000E+00
  0.000000E+00,  0.959967E+01,  0.000000E+00
  0.000000E+00,  0.101997E+02,  0.000000E+00
  0.000000E+00,  0.107996E+02,  0.000000E+00
  0.000000E+00,  0.113996E+02,  0.125664E-03
  0.000000E+00,  0.119996E+02,  0.927168E-04
  0.000000E+00,  0.125996E+02,  0.405459E-04
  0.000000E+00,  0.131995E+02,  0.000000E+00
  0.000000E+00,  0.137995E+02,  0.000000E+00
  0.000000E+00,  0.143995E+02,  0.000000E+00
  0.000000E+00,  0.149995E+02,  0.000000E+00
  0.000000E+00,  0.155995E+02,  0.000000E+00
  0.000000E+00,  0.161994E+02,  0.126405E-03
  0.000000E+00,  0.167994E+02,  0.104102E-04
  0.000000E+00,  0.173994E+02,  0.000000E+00
  0.000000E+00,  0.179994E+02,  0.216956E-03
  0.000000E+00,  0.185994E+02,  0.532805E-03
  0.000000E+00,  0.191993E+02,  0.000000E+00
  0.000000E+00,  0.197993E+02,  0.000000E+00
  0.000000E+00,  0.203993E+02,  0.000000E+00
  0.000000E+00,  0.209993E+02,  0.000000E+00
  0.000000E+00,  0.215993E+02,  0.000000E+00
  0.000000E+00,  0.221992E+02,  0.000000E+00
  0.000000E+00,  0.227992E+02,  0.000000E+00
  0.000000E+00,  0.233992E+02,  0.000000E+00
  0.000000E+00,  0.239992E+02,  0.242124E-03
  0.000000E+00,  0.245992E+02,  0.505899E-04
  0.000000E+00,  0.251991E+02,  0.000000E+00
  0.000000E+00,  0.257991E+02,  0.000000E+00
  0.000000E+00,  0.263991E+02,  0.000000E+00
  0.000000E+00,  0.269991E+02,  0.628171E-04
  0.000000E+00,  0.275991E+02,  0.160117E-03
  0.000000E+00,  0.281990E+02,  0.000000E+00
  0.000000E+00,  0.287990E+02,  0.000000E+00
  0.000000E+00,  0.293990E+02,  0.000000E+00
  0.000000E+00,  0.299990E+02,  0.000000E+00
  0.000000E+00,  0.305990E+02,  0.000000E+00
  0.000000E+00,  0.311989E+02,  0.127557E-03
  0.000000E+00,  0.317989E+02,  0.644688E-03
  0.000000E+00,  0.323989E+02,  0.167134E-03
  0.000000E+00,  0.329989E+02,  0.000000E+00
  0.000000E+00,  0.335988E+02,  0.000000E+00
