 # Key parameters for the calculation
 # TASK,INSTR,TEMP,WING,E_UNIT
 #    2,   3, 300,   0,   1
 # Q, deltaE, Total
  0.000000E+00, -0.999966E+02,  0.000000E+00
  0.000000E+00, -0.993966E+02,  0.000000E+00
  0.000000E+00, -0.987966E+02,  0.000000E+00
  0.000000E+00, -0.981966E+02,  0.000000E+00
  0.000000E+00, -0.975967E+02,  0.000000E+00
  0.000000E+00, -0.969967E+02,  0.000000E+00
  0.000000E+00, -0.963967E+02,  0.000000E+00
  0.000000E+00, -0.957967E+02,  0.000000E+00
  0.000000E+00, -0.951967E+02,  0.000000E+00
  0.000000E+00, -0.945968E+02,  0.000000E+00
  0.000000E+00, -0.939968E+02,  0.000000E+00
  0.000000E+00, -0.933968E+02,  0.000000E+00
  0.000000E+00, -0.927968E+02,  0.000000E+00
  0.000000E+00, -0.921968E+02,  0.000000E+00
  0.000000E+00, -0.915969E+02,  0.276128E-05
  0.000000E+00, -0.909969E+02,  0.000000E+00
  0.000000E+00, -0.903969E+02,  0.000000E+00
  0.000000E+00, -0.897969E+02,  0.000000E+00
  0.000000E+00, -0.891969E+02,  0.000000E+00
  0.000000E+00, -0.885970E+02,  0.000000E+00
  0.000000E+00, -0.879970E+02,  0.000000E+00
  0.000000E+00, -0.873970E+02,  0.000000E+00
  0.000000E+00, -0.867970E+02,  0.000000E+00
  0.000000E+00, -0.861970E+02,  0.000000E+00
  0.000000E+00, -0.855971E+02,  0.000000E+00
  0.000000E+00, -0.849971E+02,  0.000000E+00
  0.000000E+00, -0.843971E+02,  0.000000E+00
  0.000000E+00, -0.837971E+02,  0.000000E+00
  0.000000E+00, -0.831971E+02,  0.000000E+00
  0.000000E+00, -0.825972E+02,  0.000000E+00
  0.000000E+00, -0.819972E+02,  0.000000E+00
  0.000000E+00, -0.813972E+02,  0.000000E+00
  0.000000E+00, -0.807972E+02,  0.000000E+00
  0.000000E+00, -0.801972E+02,  0.000000E+00
  0.000000E+00, -0.795973E+02,  0.000000E+00
  0.000000E+00, -0.789973E+02,  0.000000E+00
  0.000000E+00, -0.783973E+02,  0.000000E+00
  0.000000E+00, -0.777973E+02,  0.000000E+00
  0.000000E+00, -0.771974E+02,  0.000000E+00
  0.000000E+00, -0.765974E+02,  0.000000E+00
  0.000000E+00, -0.759974E+02,  0.000000E+00
  0.000000E+00, -0.753974E+02,  0.000000E+00
  0.000000E+00, -0.747974E+02,  0.000000E+00
  0.000000E+00, -0.741975E+02,  0.000000E+00
  0.000000E+00, -0.735975E+02,  0.000000E+00
  0.000000E+00, -0.729975E+02,  0.000000E+00
  0.000000E+00, -0.723975E+02,  0.000000E+00
  0.000000E+00, -0.717975E+02,  0.000000E+00
  0.000000E+00, -0.711976E+02,  0.000000E+00
  0.000000E+00, -0.705976E+02,  0.000000E+00
  0.000000E+00, -0.699976E+02,  0.000000E+00
  0.000000E+00, -0.693976E+02,  0.000000E+00
  0.000000E+00, -0.687976E+02,  0.189039E-04
  0.000000E+00, -0.681977E+02,  0.000000E+00
  0.000000E+00, -0.675977E+02,  0.424161E-05
  0.000000E+00, -0.669977E+02,  0.224910E-04
  0.000000E+00, -0.663977E+02,  0.000000E+00
  0.000000E+00, -0.657977E+02,  0.000000E+00
  0.000000E+00, -0.651978E+02,  0.000000E+00
  0.000000E+00, -0.645978E+02,  0.000000E+00
  0.000000E+00, -0.639978E+02,  0.000000E+00
  0.000000E+00, -0.633978E+02,  0.000000E+00
  0.000000E+00, -0.627978E+02,  0.000000E+00
  0.000000E+00, -0.621979E+02,  0.000000E+00
  0.000000E+00, -0.615979E+02,  0.000000E+00
