 # Key parameters for the calculation
 # TASK,INSTR,TEMP,WING,E_UNIT
 #    2,   3, 300,   0,   1
 # Q, deltaE, Total
  0.000000E+000, -0.499983E+002,  0.000000E+000
  0.000000E+000, -0.495983E+002,  0.000000E+000
  0.000000E+000, -0.491983E+002,  0.000000E+000
  0.000000E+000, -0.487983E+002,  0.000000E+000
  0.000000E+000, -0.483983E+002,  0.000000E+000
  0.000000E+000, -0.479984E+002,  0.000000E+000
  0.000000E+000, -0.475984E+002,  0.000000E+000
  0.000000E+000, -0.471984E+002,  0.000000E+000
  0.000000E+000, -0.467984E+002,  0.000000E+000
  0.000000E+000, -0.463984E+002,  0.000000E+000
  0.000000E+000, -0.459984E+002,  0.000000E+000
  0.000000E+000, -0.455984E+002,  0.000000E+000
  0.000000E+000, -0.451984E+002,  0.000000E+000
  0.000000E+000, -0.447985E+002,  0.000000E+000
  0.000000E+000, -0.443985E+002,  0.000000E+000
  0.000000E+000, -0.439985E+002,  0.000000E+000
  0.000000E+000, -0.435985E+002,  0.101800E-004
  0.000000E+000, -0.431985E+002,  0.000000E+000
  0.000000E+000, -0.427985E+002,  0.000000E+000
  0.000000E+000, -0.423985E+002,  0.000000E+000
  0.000000E+000, -0.419986E+002,  0.000000E+000
  0.000000E+000, -0.415986E+002,  0.000000E+000
  0.000000E+000, -0.411986E+002,  0.000000E+000
  0.000000E+000, -0.407986E+002,  0.000000E+000
  0.000000E+000, -0.403986E+002,  0.000000E+000
  0.000000E+000, -0.399986E+002,  0.000000E+000
  0.000000E+000, -0.395986E+002,  0.000000E+000
  0.000000E+000, -0.391987E+002,  0.000000E+000
  0.000000E+000, -0.387987E+002,  0.000000E+000
  0.000000E+000, -0.383987E+002,  0.000000E+000
  0.000000E+000, -0.379987E+002,  0.000000E+000
  0.000000E+000, -0.375987E+002,  0.000000E+000
  0.000000E+000, -0.371987E+002,  0.000000E+000
  0.000000E+000, -0.367987E+002,  0.000000E+000
  0.000000E+000, -0.363988E+002,  0.000000E+000
  0.000000E+000, -0.359988E+002,  0.000000E+000
  0.000000E+000, -0.355988E+002,  0.000000E+000
  0.000000E+000, -0.351988E+002,  0.000000E+000
  0.000000E+000, -0.347988E+002,  0.000000E+000
  0.000000E+000, -0.343988E+002,  0.000000E+000
  0.000000E+000, -0.339988E+002,  0.000000E+000
  0.000000E+000, -0.335988E+002,  0.000000E+000
  0.000000E+000, -0.331989E+002,  0.000000E+000
  0.000000E+000, -0.327989E+002,  0.000000E+000
  0.000000E+000, -0.323989E+002,  0.000000E+000
  0.000000E+000, -0.319989E+002,  0.000000E+000
  0.000000E+000, -0.315989E+002,  0.000000E+000
  0.000000E+000, -0.311989E+002,  0.000000E+000
  0.000000E+000, -0.307989E+002,  0.000000E+000
  0.000000E+000, -0.303990E+002,  0.000000E+000
  0.000000E+000, -0.299990E+002,  0.000000E+000
  0.000000E+000, -0.295990E+002,  0.000000E+000
  0.000000E+000, -0.291990E+002,  0.000000E+000
  0.000000E+000, -0.287990E+002,  0.000000E+000
  0.000000E+000, -0.283990E+002,  0.000000E+000
  0.000000E+000, -0.279990E+002,  0.000000E+000
  0.000000E+000, -0.275991E+002,  0.000000E+000
  0.000000E+000, -0.271991E+002,  0.000000E+000
  0.000000E+000, -0.267991E+002,  0.000000E+000
  0.000000E+000, -0.263991E+002,  0.000000E+000
  0.000000E+000, -0.259991E+002,  0.000000E+000
  0.000000E+000, -0.255991E+002,  0.000000E+000
  0.000000E+000, -0.251991E+002,  0.000000E+000
  0.000000E+000, -0.247991E+002,  0.000000E+000
  0.000000E+000, -0.243992E+002,  0.000000E+000
  0.000000E+000, -0.239992E+002,  0.000000E+000
  0.000000E+000, -0.235992E+002,  0.000000E+000
  0.000000E+000, -0.231992E+002,  0.000000E+000
  0.000000E+000, -0.227992E+002,  0.000000E+000
  0.000000E+000, -0.223992E+002,  0.000000E+000
  0.000000E+000, -0.219992E+002,  0.127114E-004
  0.000000E+000, -0.215993E+002,  0.000000E+000
  0.000000E+000, -0.211993E+002,  0.000000E+000
  0.000000E+000, -0.207993E+002,  0.000000E+000
  0.000000E+000, -0.203993E+002,  0.419391E-007
  0.000000E+000, -0.199993E+002,  0.000000E+000
  0.000000E+000, -0.195993E+002,  0.000000E+000
  0.000000E+000, -0.191993E+002,  0.276097E-005
  0.000000E+000, -0.187994E+002,  0.000000E+000
