 # Key parameters for the calculation
 # TASK,INSTR,TEMP,WING,E_UNIT
 #    2,   3,   5,   0,   1
 # Q, deltaE, Total
  0.000000E+000, -0.249991E+002,  0.000000E+000
  0.000000E+000, -0.249491E+002,  0.000000E+000
  0.000000E+000, -0.248991E+002,  0.000000E+000
  0.000000E+000, -0.248491E+002,  0.000000E+000
  0.000000E+000, -0.247991E+002,  0.000000E+000
  0.000000E+000, -0.247492E+002,  0.000000E+000
  0.000000E+000, -0.246992E+002,  0.000000E+000
  0.000000E+000, -0.246492E+002,  0.000000E+000
  0.000000E+000, -0.245992E+002,  0.000000E+000
  0.000000E+000, -0.245492E+002,  0.000000E+000
  0.000000E+000, -0.244992E+002,  0.000000E+000
  0.000000E+000, -0.244492E+002,  0.000000E+000
  0.000000E+000, -0.243992E+002,  0.000000E+000
  0.000000E+000, -0.243492E+002,  0.000000E+000
  0.000000E+000, -0.242992E+002,  0.000000E+000
  0.000000E+000, -0.242492E+002,  0.000000E+000
  0.000000E+000, -0.241992E+002,  0.000000E+000
  0.000000E+000, -0.241492E+002,  0.000000E+000
  0.000000E+000, -0.240992E+002,  0.000000E+000
  0.000000E+000, -0.240492E+002,  0.000000E+000
  0.000000E+000, -0.239992E+002,  0.000000E+000
  0.000000E+000, -0.239492E+002,  0.000000E+000
  0.000000E+000, -0.238992E+002,  0.000000E+000
  0.000000E+000, -0.238492E+002,  0.000000E+000
  0.000000E+000, -0.237992E+002,  0.000000E+000
  0.000000E+000, -0.237492E+002,  0.000000E+000
  0.000000E+000, -0.236992E+002,  0.000000E+000
  0.000000E+000, -0.236492E+002,  0.000000E+000
  0.000000E+000, -0.235992E+002,  0.000000E+000
  0.000000E+000, -0.235492E+002,  0.000000E+000
  0.000000E+000, -0.234992E+002,  0.000000E+000
  0.000000E+000, -0.234492E+002,  0.000000E+000
  0.000000E+000, -0.233992E+002,  0.000000E+000
  0.000000E+000, -0.233492E+002,  0.000000E+000
  0.000000E+000, -0.232992E+002,  0.000000E+000
  0.000000E+000, -0.232492E+002,  0.000000E+000
  0.000000E+000, -0.231992E+002,  0.000000E+000
