 # Key parameters for the calculation
 # TASK,INSTR,TEMP,WING,E_UNIT
 #    2,   3,   5,   0,   1
 # Q, deltaE, Total
 -0.375000E-01,  0.000000E+00,  0.000000E+00
 -0.375000E-01,  0.899969E+00,  0.000000E+00
 -0.375000E-01,  0.179994E+01,  0.000000E+00
 -0.375000E-01,  0.269991E+01,  0.000000E+00
 -0.375000E-01,  0.359988E+01,  0.000000E+00
 -0.375000E-01,  0.449985E+01,  0.000000E+00
 -0.375000E-01,  0.539981E+01,  0.101124E-02
 -0.375000E-01,  0.629978E+01,  0.000000E+00
 -0.375000E-01,  0.719975E+01,  0.000000E+00
 -0.375000E-01,  0.809972E+01,  0.000000E+00
 -0.375000E-01,  0.899969E+01,  0.000000E+00
 -0.375000E-01,  0.989966E+01,  0.000000E+00
 -0.375000E-01,  0.107996E+02,  0.000000E+00
 -0.375000E-01,  0.116996E+02,  0.191644E-05
 -0.375000E-01,  0.125996E+02,  0.151499E-04
 -0.375000E-01,  0.134995E+02,  0.329590E-04
 -0.375000E-01,  0.143995E+02,  0.475426E-04
 -0.375000E-01,  0.152995E+02,  0.111655E-03
 -0.375000E-01,  0.161994E+02,  0.655954E-04
 -0.375000E-01,  0.170994E+02,  0.276393E-05
 -0.375000E-01,  0.179994E+02,  0.160460E-04
 -0.375000E-01,  0.188994E+02,  0.162935E-04
 -0.375000E-01,  0.197993E+02,  0.847298E-05
 -0.375000E-01,  0.206993E+02,  0.000000E+00
 -0.375000E-01,  0.215993E+02,  0.000000E+00
 -0.375000E-01,  0.224992E+02,  0.000000E+00
 -0.375000E-01,  0.233992E+02,  0.000000E+00
 -0.375000E-01,  0.242992E+02,  0.000000E+00
 -0.375000E-01,  0.251991E+02,  0.527592E-05
 -0.375000E-01,  0.260991E+02,  0.423191E-05
 -0.375000E-01,  0.269991E+02,  0.279255E-04
 -0.375000E-01,  0.278990E+02,  0.000000E+00
 -0.375000E-01,  0.287990E+02,  0.000000E+00
 -0.375000E-01,  0.296990E+02,  0.000000E+00
 -0.375000E-01,  0.305990E+02,  0.000000E+00
 -0.375000E-01,  0.314989E+02,  0.000000E+00
 -0.375000E-01,  0.323989E+02,  0.147665E-03
 -0.375000E-01,  0.332989E+02,  0.127461E-03
 -0.375000E-01,  0.341988E+02,  0.217558E-04
 -0.375000E-01,  0.350988E+02,  0.000000E+00
 -0.375000E-01,  0.359988E+02,  0.000000E+00
 -0.375000E-01,  0.368987E+02,  0.000000E+00
 -0.375000E-01,  0.377987E+02,  0.000000E+00
 -0.375000E-01,  0.386987E+02,  0.000000E+00
 -0.375000E-01,  0.395986E+02,  0.000000E+00
 -0.375000E-01,  0.404986E+02,  0.000000E+00
 -0.375000E-01,  0.413986E+02,  0.000000E+00
 -0.375000E-01,  0.422985E+02,  0.000000E+00
 -0.375000E-01,  0.431985E+02,  0.000000E+00
 -0.375000E-01,  0.440985E+02,  0.000000E+00
 -0.375000E-01,  0.449985E+02,  0.000000E+00
 -0.375000E-01,  0.458984E+02,  0.558472E-04
 -0.375000E-01,  0.467984E+02,  0.324589E-04
 -0.375000E-01,  0.476984E+02,  0.000000E+00
 -0.375000E-01,  0.485983E+02,  0.000000E+00
 -0.375000E-01,  0.494983E+02,  0.138644E-04
 -0.375000E-01,  0.503983E+02,  0.900630E-04
 -0.375000E-01,  0.512982E+02,  0.827496E-04
 -0.375000E-01,  0.521982E+02,  0.000000E+00
 -0.375000E-01,  0.530982E+02,  0.000000E+00
 -0.375000E-01,  0.539981E+02,  0.000000E+00
 -0.375000E-01,  0.548981E+02,  0.000000E+00
 -0.375000E-01,  0.557981E+02,  0.265489E-04
 -0.375000E-01,  0.566981E+02,  0.000000E+00
 -0.375000E-01,  0.575980E+02,  0.000000E+00
 -0.375000E-01,  0.584980E+02,  0.000000E+00
 -0.375000E-01,  0.593980E+02,  0.000000E+00
 -0.375000E-01,  0.602979E+02,  0.000000E+00
 -0.375000E-01,  0.611979E+02,  0.000000E+00
