 # Key parameters for the calculation
 # TASK,INSTR,TEMP,WING,E_UNIT
 #    2,   3,   5,   0,   1
 # Q, deltaE, Total
  0.000000E+00,  0.000000E+00,  0.000000E+00
  0.000000E+00,  0.899969E+00,  0.000000E+00
  0.000000E+00,  0.179994E+01,  0.000000E+00
  0.000000E+00,  0.269991E+01,  0.000000E+00
  0.000000E+00,  0.359988E+01,  0.000000E+00
  0.000000E+00,  0.449985E+01,  0.000000E+00
  0.000000E+00,  0.539981E+01,  0.101073E-02
  0.000000E+00,  0.629978E+01,  0.000000E+00
  0.000000E+00,  0.719975E+01,  0.000000E+00
  0.000000E+00,  0.809972E+01,  0.000000E+00
  0.000000E+00,  0.899969E+01,  0.000000E+00
  0.000000E+00,  0.989966E+01,  0.000000E+00
  0.000000E+00,  0.107996E+02,  0.000000E+00
  0.000000E+00,  0.116996E+02,  0.000000E+00
  0.000000E+00,  0.125996E+02,  0.118374E-05
  0.000000E+00,  0.134995E+02,  0.691639E-04
  0.000000E+00,  0.143995E+02,  0.931807E-04
  0.000000E+00,  0.152995E+02,  0.000000E+00
  0.000000E+00,  0.161994E+02,  0.109964E-03
  0.000000E+00,  0.170994E+02,  0.000000E+00
  0.000000E+00,  0.179994E+02,  0.220131E-04
  0.000000E+00,  0.188994E+02,  0.194650E-04
  0.000000E+00,  0.197993E+02,  0.000000E+00
  0.000000E+00,  0.206993E+02,  0.000000E+00
  0.000000E+00,  0.215993E+02,  0.000000E+00
  0.000000E+00,  0.224992E+02,  0.000000E+00
  0.000000E+00,  0.233992E+02,  0.000000E+00
  0.000000E+00,  0.242992E+02,  0.000000E+00
  0.000000E+00,  0.251991E+02,  0.000000E+00
  0.000000E+00,  0.260991E+02,  0.519850E-05
  0.000000E+00,  0.269991E+02,  0.453922E-04
  0.000000E+00,  0.278990E+02,  0.000000E+00
  0.000000E+00,  0.287990E+02,  0.000000E+00
  0.000000E+00,  0.296990E+02,  0.000000E+00
  0.000000E+00,  0.305990E+02,  0.000000E+00
  0.000000E+00,  0.314989E+02,  0.000000E+00
  0.000000E+00,  0.323989E+02,  0.223611E-04
  0.000000E+00,  0.332989E+02,  0.270801E-03
  0.000000E+00,  0.341988E+02,  0.000000E+00
  0.000000E+00,  0.350988E+02,  0.000000E+00
  0.000000E+00,  0.359988E+02,  0.000000E+00
  0.000000E+00,  0.368987E+02,  0.000000E+00
  0.000000E+00,  0.377987E+02,  0.000000E+00
  0.000000E+00,  0.386987E+02,  0.000000E+00
  0.000000E+00,  0.395986E+02,  0.000000E+00
  0.000000E+00,  0.404986E+02,  0.000000E+00
  0.000000E+00,  0.413986E+02,  0.000000E+00
  0.000000E+00,  0.422985E+02,  0.000000E+00
  0.000000E+00,  0.431985E+02,  0.000000E+00
  0.000000E+00,  0.440985E+02,  0.000000E+00
  0.000000E+00,  0.449985E+02,  0.000000E+00
  0.000000E+00,  0.458984E+02,  0.946140E-04
  0.000000E+00,  0.467984E+02,  0.000000E+00
  0.000000E+00,  0.476984E+02,  0.000000E+00
  0.000000E+00,  0.485983E+02,  0.000000E+00
  0.000000E+00,  0.494983E+02,  0.000000E+00
  0.000000E+00,  0.503983E+02,  0.133214E-03
  0.000000E+00,  0.512982E+02,  0.490083E-04
  0.000000E+00,  0.521982E+02,  0.000000E+00
  0.000000E+00,  0.530982E+02,  0.000000E+00
  0.000000E+00,  0.539981E+02,  0.000000E+00
  0.000000E+00,  0.548981E+02,  0.000000E+00
  0.000000E+00,  0.557981E+02,  0.230367E-04
  0.000000E+00,  0.566981E+02,  0.000000E+00
  0.000000E+00,  0.575980E+02,  0.000000E+00
  0.000000E+00,  0.584980E+02,  0.000000E+00
  0.000000E+00,  0.593980E+02,  0.000000E+00
  0.000000E+00,  0.602979E+02,  0.000000E+00
  0.000000E+00,  0.611979E+02,  0.000000E+00
  0.000000E+00,  0.620979E+02,  0.000000E+00
  0.000000E+00,  0.629978E+02,  0.000000E+00
  0.000000E+00,  0.638978E+02,  0.000000E+00
  0.000000E+00,  0.647978E+02,  0.000000E+00
  0.000000E+00,  0.656977E+02,  0.000000E+00
  0.000000E+00,  0.665977E+02,  0.000000E+00
  0.000000E+00,  0.674977E+02,  0.240017E-05
  0.000000E+00,  0.683977E+02,  0.000000E+00
  0.000000E+00,  0.692976E+02,  0.000000E+00
  0.000000E+00,  0.701976E+02,  0.000000E+00
  0.000000E+00,  0.710976E+02,  0.000000E+00
  0.000000E+00,  0.719975E+02,  0.000000E+00
  0.000000E+00,  0.728975E+02,  0.000000E+00
  0.000000E+00,  0.737975E+02,  0.500258E-06
  0.000000E+00,  0.746974E+02,  0.786489E-06
  0.000000E+00,  0.755974E+02,  0.000000E+00
  0.000000E+00,  0.764974E+02,  0.000000E+00
  0.000000E+00,  0.773973E+02,  0.000000E+00
